% Model:              cyljnderUnjtCell_solved.mph
% Versjon:            COMSOL 6.1.0.282
% Date:               Aug 7 2026, 11:04
% Table:              Table 3 - Global Evaluatjon 3
% tPost (nm)                                      R (nm)                                            lambda0 (µm)                                      S21 (1)
900                                               50                                                1.55                                              -0.845669386929+0.5044362611307165j
900                                               63.157894736842096                                1.55                                              -0.8251549977113691+0.5387569255954204j
900                                               76.31578947368419                                 1.55                                              -0.7941914472021001+0.5854009666643545j
900                                               89.47368421052632                                 1.55                                              -0.7471355423796626+0.6469515347910716j
900                                               102.6315789473684                                 1.55                                              -0.6739731961216431+0.7260451361240156j
900                                               115.78947368421052                                1.55                                              -0.5559252634519462+0.8236596878659627j
900                                               128.94736842105263                                1.55                                              -0.35623973597781955+0.9314716653309569j
900                                               142.1052631578947                                 1.55                                              -0.005446778866258663+0.9995911107511558j
900                                               155.26315789473682                                1.55                                              0.5624693373844357+0.8192539801083378j
900                                               168.42105263157896                                1.55                                              0.9716453344468975-0.026879486169522106j
900                                               181.57894736842104                                1.55                                              0.33229983484123915-0.9109913324745208j
900                                               194.73684210526312                                1.55                                              -0.5138804677648452-0.8375112454139356j
900                                               207.89473684210526                                1.55                                              -0.8979812315659875-0.41599951560137755j
900                                               221.05263157894737                                1.55                                              -0.8666228661809928-0.35839703156981834j
900                                               234.21052631578942                                1.55                                              -0.9706534677777011+0.1672691323977627j
900                                               247.36842105263153                                1.55                                              -0.875683679549086+0.4301009457755804j
900                                               260.52631578947364                                1.55                                              -0.7186563387658285+0.6394472785795947j
900                                               273.6842105263158                                 1.55                                              -0.6152456609406248+0.5634675095025711j
900                                               286.8421052631579                                 1.55                                              -0.3669553952916399+0.7919528013254294j
900                                               300                                               1.55                                              -0.07785011501821787+0.7863645334693915j
